Nome,Profissão,EstadoCivil,Sexo,Distrito,Concelho,Telefone,Morada,CódigoPostal,DataNascimento,Email
Sérgio Neto,Cozinheiro,Divorciado,Masculino,Braga,Guimarães,927166235,"Av de Barros, 88
8545-123 Oliveira de Azeméis",4290-664,13/05/1995,sérgio.neto@outlook.com
Tatiana Anjos,Rececionista,Solteiro,Feminino,Vila Real,Vila Real,987683471,"R. de Santo Eugénio, 4
7141-428 Lisboa",4375-272,30/11/1971,tatiana.anjos@yahoo.com
Nuno Abreu,Agricultor,Casado,Masculino,Viana do Castelo,Valença,954589945,"Rua Laura Rodrigues, 227
4436-820 Leiria",1568-809,16/03/1988,nuno.abreu@yahoo.com
Nelson Sá,Aposentado,Viúvo,Masculino,Viana do Castelo,Viana do Castelo,995309636,"Praça de Cardoso, 8
7276-095 Pinhel",0828-245,14/01/1955,nelson.sá@yahoo.com
Samuel Simões,Gestor de Projetos,Viúvo,Masculino,Braga,Vila Nova de Famalicão,916093717,"Av de Pacheco, 7
6779-836 Costa da Caparica",0839-835,06/07/1981,samuel.simões@hotmail.com
Ema Monteiro,Motorista,Viúvo,Feminino,Braga,Amares,968123780,"Praça Isabel Silva, 363
6524-180 Ponta Delgada",6354-178,31/01/2005,ema.monteiro@sapo.pt
Renata Almeida,Programador,Viúvo,Feminino,Braga,Esposende,954520684,"Rua do Lagarteiro, S/N
8238-592 Viana do Castelo",3921-731,07/04/2005,renata.almeida@hotmail.com
Daniela Fernandes,Enfermeiro,Divorciado,Feminino,Braga,Celorico de Basto,951018588,"R. Nunes, 494
0903-115 Vila Nova de Gaia",7522-365,01/06/2000,daniela.fernandes@sapo.pt
Vicente Pacheco,Analista de Dados,Solteiro,Masculino,Braga,Braga,983685154,"Avenida de Neves, 39
6798-754 Chaves",5440-235,08/04/1995,vicente.pacheco@gmail.com
Iara Torres,Técnico de Marketing,Viúvo,Feminino,Porto,Gondomar,975743705,"R. Correia, 35
7945-994 Rio Tinto",5120-220,05/03/1968,iara.torres@yahoo.com
Luana de Macedo,Enfermeiro,Solteiro,Feminino,Braga,Guimarães,996863683,"Largo Victória Pacheco, 73
3056-624 Viana do Castelo",4611-474,27/07/1986,luana.macedo@hotmail.com
Ariana Campos-Araújo,Professor,Solteiro,Feminino,Porto,Amarante,985676602,"Praça Mahatma Gandhi, 293
7647-883 Espinho",0952-964,20/03/1975,ariana.campos-araújo@yahoo.com
Lucas Pires,Enfermeiro,Divorciado,Masculino,Beja,Vidigueira,916474394,"Praça de Leal, 38
2526-984 Pinhel",4237-934,15/06/1988,lucas.pires@hotmail.com
Ângela Moreira,Arquiteto,Divorciado,Feminino,Viana do Castelo,Vila Nova de Cerveira,924732707,"Travessa António Sérgio, S/N
0023-524 Almada",2417-774,01/06/1996,ângela.moreira@sapo.pt
Isabela Barros,Farmacêutico,Viúvo,Feminino,Castelo Branco,Oleiros,964652799,"Rua Amaral, 5
1427-291 Vila Franca de Xira",1635-883,21/11/1977,isabela.barros@hotmail.com
Márcio Simões,Advogado,Casado,Masculino,Portalegre,Arronches,901761976,"Travessa de Maceda, S/N
7395-859 São Salvador de Lordelo",8207-171,22/03/2005,márcio.simões@yahoo.com
Marco Torres,Técnico de Marketing,Viúvo,Masculino,Portalegre,Alter do Chão,936946552,"Travessa de Castro, 11
0824-672 Caldas da Rainha",9527-361,09/05/1986,marco.torres@hotmail.com
Violeta Matias,Arquiteto,Viúvo,Feminino,Leiria,Porto de Mós,956826140,"Largo Almeida, 242
1659-788 Oliveira do Bairro",9060-075,20/12/1979,violeta.matias@yahoo.com
Vera Gaspar,Arquiteto,Viúvo,Feminino,Braga,Amares,915805620,"Alameda de Azevedo, 16
5107-214 Covilhã",1199-001,21/02/1986,vera.gaspar@sapo.pt
Francisco Magalhães,Empregado de Limpeza,Viúvo,Masculino,Braga,Amares,978438437,"R. da Sé, 77
5230-384 Cartaxo",8713-264,05/06/1990,francisco.magalhães@hotmail.com
Gonçalo Fonseca-Torres,Agricultor,Divorciado,Masculino,Castelo Branco,Fundão,921570274,"Rua de Vaz, 90
6358-331 Santiago do Cacém",8010-356,23/04/2005,gonçalo.fonseca-torres@sapo.pt
Camila Neto,Contabilista,Solteiro,Feminino,Vila Real,Chaves,997109479,"Avenida de Fernandes, S/N
0371-152 Barcelos",8203-770,30/09/1994,camila.neto@sapo.pt
Tomé Henriques,Arquiteto,Divorciado,Masculino,Aveiro,Ílhavo,906172957,"Avenida de Carvalho, 2
3592-918 Câmara de Lobos",2386-189,17/02/1982,tomé.henriques@sapo.pt
Erika-Érica Correia,Estudante,Viúvo,Feminino,Vila Real,Vila Real,902009008,"Avenida de Monteiro, 551
5300-059 Ovar",3521-575,11/02/2004,erika-érica.correia@sapo.pt
Hugo Matos,Farmacêutico,Viúvo,Masculino,Braga,Vila Nova de Famalicão,984065148,"Rua Alexandra Carneiro, 352
1205-888 Valongo",6775-082,09/04/1983,hugo.matos@hotmail.com
Diogo Vicente,Comerciante,Divorciado,Masculino,Viseu,Lamego,959590989,"Alameda de Eduardo Soares, 954
7281-936 Ribeira Grande",6939-799,21/09/1976,diogo.vicente@sapo.pt
