Nome,Profissão,EstadoCivil,Sexo,Distrito,Concelho,DataNascimento,Email,customer_id
Sérgio Neto,Cozinheiro,Divorciado,Masculino,Braga,Guimarães,13/05/1995,sérgio.neto@outlook.com,C100
Tatiana Anjos,Rececionista,Solteiro,Feminino,Vila Real,Vila Real,30/11/1971,tatiana.anjos@yahoo.com,C101
Nuno Abreu,Agricultor,Casado,Masculino,Viana do Castelo,Valença,16/03/1988,nuno.abreu@yahoo.com,C102
Nelson Sá,Aposentado,Viúvo,Masculino,Viana do Castelo,Viana do Castelo,14/01/1955,nelson.sá@yahoo.com,C103
Samuel Simões,Gestor de Projetos,Viúvo,Masculino,Braga,Vila Nova de Famalicão,06/07/1981,samuel.simões@hotmail.com,C104
Ema Monteiro,Motorista,Viúvo,Feminino,Braga,Amares,31/01/2005,ema.monteiro@sapo.pt,C105
Renata Almeida,Programador,Viúvo,Feminino,Braga,Esposende,07/04/2005,renata.almeida@hotmail.com,C106
Daniela Fernandes,Enfermeiro,Divorciado,Feminino,Braga,Celorico de Basto,01/06/2000,daniela.fernandes@sapo.pt,C107
Vicente Pacheco,Analista de Dados,Solteiro,Masculino,Braga,Braga,08/04/1995,vicente.pacheco@gmail.com,C108
Iara Torres,Técnico de Marketing,Viúvo,Feminino,Porto,Gondomar,05/03/1968,iara.torres@yahoo.com,C109
Luana de Macedo,Enfermeiro,Solteiro,Feminino,Braga,Guimarães,27/07/1986,luana.macedo@hotmail.com,C110
Ariana Campos-Araújo,Professor,Solteiro,Feminino,Porto,Amarante,20/03/1975,ariana.campos-araújo@yahoo.com,C111
Lucas Pires,Enfermeiro,Divorciado,Masculino,Beja,Vidigueira,15/06/1988,lucas.pires@hotmail.com,C112
Ângela Moreira,Arquiteto,Divorciado,Feminino,Viana do Castelo,Vila Nova de Cerveira,01/06/1996,ângela.moreira@sapo.pt,C113
Isabela Barros,Farmacêutico,Viúvo,Feminino,Castelo Branco,Oleiros,21/11/1977,isabela.barros@hotmail.com,C114
Márcio Simões,Advogado,Casado,Masculino,Portalegre,Arronches,22/03/2005,márcio.simões@yahoo.com,C115
Marco Torres,Técnico de Marketing,Viúvo,Masculino,Portalegre,Alter do Chão,09/05/1986,marco.torres@hotmail.com,C116
Violeta Matias,Arquiteto,Viúvo,Feminino,Leiria,Porto de Mós,20/12/1979,violeta.matias@yahoo.com,C117
Vera Gaspar,Arquiteto,Viúvo,Feminino,Braga,Amares,21/02/1986,vera.gaspar@sapo.pt,C118
Francisco Magalhães,Empregado de Limpeza,Viúvo,Masculino,Braga,Amares,05/06/1990,francisco.magalhães@hotmail.com,C119
Gonçalo Fonseca-Torres,Agricultor,Divorciado,Masculino,Castelo Branco,Fundão,23/04/2005,gonçalo.fonseca-torres@sapo.pt,C120
Camila Neto,Contabilista,Solteiro,Feminino,Vila Real,Chaves,30/09/1994,camila.neto@sapo.pt,C121
Tomé Henriques,Arquiteto,Divorciado,Masculino,Aveiro,Ílhavo,17/02/1982,tomé.henriques@sapo.pt,C122
Erika-Érica Correia,Estudante,Viúvo,Feminino,Vila Real,Vila Real,11/02/2004,erika-érica.correia@sapo.pt,C123
Hugo Matos,Farmacêutico,Viúvo,Masculino,Braga,Vila Nova de Famalicão,09/04/1983,hugo.matos@hotmail.com,C124
Diogo Vicente,Comerciante,Divorciado,Masculino,Viseu,Lamego,21/09/1976,diogo.vicente@sapo.pt,C125
Wilson Guerreiro-Amorim,Psicólogo,Casado,Masculino,Porto,Felgueiras,06/07/1982,wilson.guerreiro-amorim@hotmail.com,C126
Jaime Neves,Médico,Viúvo,Masculino,Braga,Cabeceiras de Basto,19/03/1996,jaime.neves@sapo.pt,C127
Mateus Cunha,Arquiteto,Divorciado,Masculino,Vila Real,Alijó,22/06/1993,mateus.cunha@outlook.com,C128
Samuel Alves,Cozinheiro,Divorciado,Masculino,Vila Real,Valpaços,16/01/1973,samuel.alves@sapo.pt,C129
João Assunção,Farmacêutico,Viúvo,Masculino,Braga,Braga,21/01/1999,joão.assunção@yahoo.com,C130
Diogo do Martins,Farmacêutico,Solteiro,Masculino,Castelo Branco,Vila Velha de Ródão,11/02/1968,diogo.martins@yahoo.com,C131
Miguel Carneiro,Carpinteiro,Divorciado,Masculino,Braga,Guimarães,14/05/1980,miguel.carneiro@outlook.com,C132
Raquel da Carvalho,Aposentado,Casado,Feminino,Porto,Matosinhos,11/12/1956,raquel.carvalho@gmail.com,C133
Ana Nogueira-Lourenço,Carpinteiro,Divorciado,Feminino,Braga,Cabeceiras de Basto,20/08/1965,ana.nogueira-lourenço@yahoo.com,C134
Joel Pinto,Estudante,Viúvo,Masculino,Viseu,Oliveira de Frades,24/04/2004,joel.pinto@outlook.com,C135
Nádia Assunção,Engenheiro,Casado,Feminino,Porto,Amarante,04/07/1989,nádia.assunção@gmail.com,C136
Matilde Rocha,Arquiteto,Viúvo,Feminino,Guarda,Celorico da Beira,23/11/1978,matilde.rocha@outlook.com,C137
Luísa Silva,Estudante,Viúvo,Feminino,Coimbra,Coimbra,11/06/2008,luísa.silva@sapo.pt,C138
Isaac Araújo,Técnico de Marketing,Viúvo,Masculino,Porto,Amarante,10/07/1994,isaac.araújo@sapo.pt,C139
David Nogueira,Agricultor,Viúvo,Masculino,Viseu,Lamego,01/02/1994,david.nogueira@gmail.com,C140
Camila Assunção,Motorista,Viúvo,Feminino,Viana do Castelo,Vila Nova de Cerveira,09/07/1999,camila.assunção@gmail.com,C141
Valentim Matias,Aposentado,Solteiro,Masculino,Santarém,Santarém,30/04/1958,valentim.matias@outlook.com,C142
Denis Soares,Agricultor,Divorciado,Masculino,Bragança,Miranda do Douro,25/01/1974,denis.soares@yahoo.com,C143
Bruna Mota,Analista de Dados,Casado,Feminino,Viana do Castelo,Ponte de Lima,14/06/1981,bruna.mota@sapo.pt,C144
Salomé-Eduarda Amaral,Rececionista,Divorciado,Feminino,Porto,Santo Tirso,20/12/1981,salomé-eduarda.amaral@gmail.com,C145
Marcos Tavares,Estudante,Viúvo,Masculino,Braga,Braga,17/07/2002,marcos.tavares@outlook.com,C146
Violeta Morais,Psicólogo,Divorciado,Feminino,Braga,Vizela,20/10/1966,violeta.morais@outlook.com,C147
Leonardo Martins,Cozinheiro,Viúvo,Masculino,Porto,Vila Nova de Gaia,17/07/1965,leonardo.martins@outlook.com,C148
António Jesus,Agricultor,Solteiro,Masculino,Porto,Póvoa de Varzim,16/10/1994,antónio.jesus@sapo.pt,C149
Luca Pinto,Gestor de Projetos,Solteiro,Masculino,Porto,Gondomar,04/10/1965,luca.pinto@outlook.com,C150
Érica de Moreira,Psicólogo,Solteiro,Feminino,Évora,Alandroal,24/04/1989,érica.moreira@yahoo.com,C151
Nuno Tavares,Eletricista,Solteiro,Masculino,Porto,Matosinhos,26/01/1999,nuno.tavares@outlook.com,C152
Patrícia Amorim-Neto,Motorista,Viúvo,Feminino,Vila Real,Vila Real,28/05/1979,patrícia.amorim-neto@gmail.com,C153
Mélanie Abreu,Engenheiro,Solteiro,Feminino,Vila Real,Vila Pouca de Aguiar,17/04/1982,mélanie.abreu@hotmail.com,C154
Gonçalo Figueiredo,Analista de Dados,Solteiro,Masculino,Viana do Castelo,Monção,14/11/1972,gonçalo.figueiredo@outlook.com,C155
Ana Barbosa,Carpinteiro,Viúvo,Feminino,Coimbra,Oliveira do Hospital,22/01/1972,ana.barbosa@yahoo.com,C156
Íris Lourenço,Estudante,Casado,Feminino,Braga,Barcelos,01/03/2009,íris.lourenço@sapo.pt,C157
Tatiana Almeida,Empregado de Limpeza,Solteiro,Feminino,Braga,Esposende,15/11/2004,tatiana.almeida@sapo.pt,C158
Leonardo Costa,Programador,Divorciado,Masculino,Santarém,Benavente,14/03/1968,leonardo.costa@gmail.com,C159
Luca Tavares,Enfermeiro,Viúvo,Masculino,Coimbra,Figueira da Foz,02/06/1983,luca.tavares@hotmail.com,C160
Carlota Araújo,Analista de Dados,Divorciado,Feminino,Braga,Amares,21/12/1982,carlota.araújo@hotmail.com,C161
Denis Santos,Designer Gráfico,Solteiro,Masculino,Braga,Guimarães,11/07/1986,denis.santos@hotmail.com,C162
Ricardo Pires,Analista de Dados,Solteiro,Masculino,Braga,Esposende,20/11/1986,ricardo.pires@outlook.com,C163
Paulo Figueiredo,Advogado,Divorciado,Masculino,Setúbal,Palmela,28/01/1986,paulo.figueiredo@outlook.com,C164
Madalena Carvalho-Ferreira,Carpinteiro,Solteiro,Feminino,Vila Real,Chaves,14/11/1972,madalena.carvalho-ferreira@hotmail.com,C165
Mário Matias,Gestor de Projetos,Divorciado,Masculino,Braga,Vizela,15/09/1995,mário.matias@hotmail.com,C166
Soraia Esteves,Agricultor,Divorciado,Feminino,Braga,Fafe,11/05/1975,soraia.esteves@hotmail.com,C167
Filipe Vieira,Farmacêutico,Divorciado,Masculino,Braga,Guimarães,11/02/1966,filipe.vieira@hotmail.com,C168
Vasco Pereira,Psicólogo,Casado,Masculino,Viana do Castelo,Ponte da Barca,26/11/1978,vasco.pereira@gmail.com,C169
Íris-Ema Pinho,Comerciante,Solteiro,Feminino,Braga,Vila Nova de Famalicão,31/03/1992,íris-ema.pinho@yahoo.com,C170
Iara-Violeta Ribeiro,Engenheiro,Solteiro,Feminino,Aveiro,Albergaria-a-Velha,19/06/1968,iara-violeta.ribeiro@outlook.com,C171
João Sousa,Designer Gráfico,Solteiro,Masculino,Coimbra,Cantanhede,15/04/1993,joão.sousa@hotmail.com,C172
Violeta Vaz,Advogado,Casado,Feminino,Braga,Amares,25/01/1969,violeta.vaz@outlook.com,C173
Luca Matias,Carpinteiro,Divorciado,Masculino,Vila Real,Mesão Frio,07/01/1992,luca.matias@hotmail.com,C174
Bernardo Campos,Contabilista,Viúvo,Masculino,Coimbra,Coimbra,31/01/1979,bernardo.campos@yahoo.com,C175
Bianca-Lara Batista,Farmacêutico,Divorciado,Feminino,Viana do Castelo,Arcos de Valdevez,24/06/2003,bianca-lara.batista@yahoo.com,C176
Tomás Vieira,Rececionista,Viúvo,Masculino,Porto,Póvoa de Varzim,06/07/1994,tomás.vieira@gmail.com,C177
Mara-Daniela Castro,Farmacêutico,Solteiro,Feminino,Viana do Castelo,Viana do Castelo,13/03/1970,mara-daniela.castro@hotmail.com,C178
